viral_NCBI_refname,description
NC_043564.1," Anhembi virus strain SPAr2984 RNA-dependent RNA polymerase gene, complete cds"
NC_043565.1," Anhembi virus strain SPAr2984 polyprotein gene, complete cds"
NC_043566.1," Anhembi virus strain SPAr2984 nucleocapsid protein gene, complete cds"
NC_034556.1," Anjozorobe hantavirus strain Anjozorobe/Em/MDG/2009/ATD49 RNA-dependent RNA polymerase gene, complete cds"
NC_034563.1," Anjozorobe hantavirus strain Anjozorobe/Em/MDG/2009/ATD49 glycoprotein precursor, gene, complete cds"
NC_034555.1," Anjozorobe hantavirus strain Anjozorobe/Em/MDG/2009/ATD49 nucleocapsid protein (N) gene, complete cds"
NC_023426.1," Anomala cuprea entomopoxvirus DNA, complete genome, strain: CV6M"
NC_030115.1," Anopheles C virus non-structural polyprotein and structural polyprotein genes, complete cds"
NC_031327.1," Anopheles flavivirus variant 1, complete genome"
NC_011317.1," Anopheles gambiae densonucleosis virus, complete genome"
NC_023848.1," Anopheles minimus irodovirus isolate AMIV, complete genome"
NC_023682.1," Anopheline-associated C virus isolate acc_1.1s segment 1 RNA-dependent RNA polymerase-like protein and hypothetical proteins genes, complete cds"
NC_023683.1," Anopheline-associated C virus isolate acc_1.2s segment 2 hypothetical protein genes, complete cds"
NC_039017.1," Antarctic penguin virus A, complete genome"
NC_039018.1," Antarctic penguin virus B, complete genome"
NC_039019.1," Antarctic penguin virus C, complete genome"
NC_030232.1," Antarctic picorna-like virus 1 nonstructural protein and structural protein genes, complete cds"
NC_030233.1," Antarctic picorna-like virus 2 nonstructural protein and structural protein genes, complete cds"
NC_030234.1," Antarctic picorna-like virus 3 nonstructural protein gene, complete cds"
NC_030235.1," Antarctic picorna-like virus 4 nonstructural protein and structural protein genes, complete cds"
NC_023483.1," Antheraea pernyi iflavirus isolate LnApIV-02, complete genome"
NC_008035.3," Antheraea pernyi nucleopolyhedrovirus, complete genome"
NC_040432.1, Anthoxanthum odoratum amalgavirus 1 strain AoAV1-UN29855 genomic sequence
NC_043676.1," Anthurium mosaic-associated virus strain PHA segment dsRNA1, complete sequence"
NC_043677.1," Anthurium mosaic-associated virus strain PHA segment dsRNA2, complete sequence"
NC_043678.1," Anthurium mosaic-associated virus strain PHA segment dsRNA3, complete sequence"
NC_031761.1," Anticarsia gemmatalis multicapsid nucleopolyhedrovirus isolate AgMNPV-37, complete genome"
NC_008520.2," Anticarsia gemmatalis nucleopolyhedrovirus, complete genome"
NC_035189.1," Antonospora locustae virus 1 ORF1/ORF2 fusion protein and ORF1p genes, complete cds"
NC_016447.1," Aotine herpesvirus 1 strain S34E, complete genome"
NC_004365.1," Aphid lethal paralysis virus, complete genome"
NC_028381.1," Aphis glycines virus 2 isolate AGV 1-IA replicase, putative readthrough protein, and coat protein genes, complete cds"
NC_034973.1," Aphis glycines virus 3 isolate S6-IA, partial genome"
NC_035115.1," Apis dicistrovirus isolate AWD-1151 nonstructural polyprotein and structural polyprotein genes, complete cds"
NC_035071.1," Apis flavivirus isolate RI-A polyprotein gene, complete cds"
NC_014905.1," Apium virus Y, complete genome"
NC_040711.1," Aplysia californica nido-like virus isolate EK, complete genome"
NC_018504.1," Apocheima cinerarium nucleopolyhedrovirus, complete genome"
NC_024893.1," Apodemus sylvaticus papillomavirus 1, complete genome"
NC_003676.1," Apoi virus, genome"
NC_040763.1," Apore mammarenavirus strain LBCE 12071 segment L, complete sequence"
NC_040762.1," Apore mammarenavirus strain LBCE 12071 segment S, complete sequence"
NC_040549.1," Apple-associated luteovirus isolate A68, complete genome"
NC_001409.1," Apple chlorotic leaf spot virus, complete genome"
NC_003463.1," Apple dimple fruit viroid, complete genome"
NC_003777.1, JP 1999206382-A/1: Apple/Citrus junos fruit viroid gene
NC_026760.1," Apple geminivirus PL-2015 isolate China, complete genome"
NC_018714.1," Apple green crinkle associated virus complete genome, genomic RNA, isolate Aurora-1"
NC_028132.1," Apple hammerhead viroid-like circular RNA, complete genome"
NC_003787.1," Apple latent spherical virus segment 1, complete sequence"
NC_003788.1," Apple latent spherical virus segment 2, complete sequence"
NC_040680.1," Apple luteovirus 1 isolate PA8, complete genome"
NC_003464.1," Apple mosaic virus RNA 1 putative methyltransferase/helicase gene, complete cds"
NC_003465.1," Apple mosaic virus RNA 2 putative polymerase gene, complete cds"
NC_003480.1," Apple mosaic virus RNA 3, complete sequence"
NC_040469.1," Apple necrotic mosaic virus genomic RNA, segment RNA1, complete sequence"
NC_040471.1," Apple necrotic mosaic virus genomic RNA, segment RNA2, complete sequence"
NC_040470.1," Apple necrotic mosaic virus genomic RNA, segment RNA3, complete sequence"
NC_001340.1," Apple scar skin viroid, complete genome"
NC_001749.2," Apple stem grooving virus, complete genome"
NC_003462.2," Apple stem pitting virus genes for RNA-dependent RNA polymerase, triple gene block ORFs and coat protein, complete cds"
NC_014821.1," Apricot latent virus, complete genome"
NC_006946.1," Apricot pseudo-chlorotic leaf spot virus, complete genome"
NC_023295.1," Apricot vein clearing associated virus complete genome, isolate VC"
NC_040528.1," Apteryx rowi circovirus-like virus isolate JWNM 090913, complete genome"
NC_041912.1," Aquamicrobium phage P14, complete genome"
NC_005166.1," Golden shiner reovirus segment 1, complete sequence"
NC_005167.1," Golden shiner reovirus segment 2, complete sequence"
NC_005168.1," Golden shiner reovirus segment 3, complete sequence"
NC_005169.1," Golden shiner reovirus segment 4, complete sequence"
NC_005170.1," Golden shiner reovirus segment 5, complete sequence"
NC_005171.1," Golden shiner reovirus segment 6, complete sequence"
NC_005172.1," Golden shiner reovirus segment 7, complete sequence"
NC_005173.1," Golden shiner reovirus segment 8, complete sequence"
NC_005174.1," Golden shiner reovirus segment 9, complete sequence"
NC_005175.1," Golden shiner reovirus segment 10, complete sequence"
NC_005176.1," Golden shiner reovirus segment 11, complete sequence"
NC_029642.1," Aquatic bird bornavirus 1, complete genome"
NC_030691.1," Aquatic bird bornavirus 2, complete cds"
NC_030889.1," Arabidopsis halleri partitivirus 1 gene for RNA dependent RNA polymerase, complete cds"
NC_030890.1," Arabidopsis halleri partitivirus 1 gene for capsid protein, complete cds"
NC_003523.1," Arabis mosaic virus large satellite RNA, complete genome"
NC_018451.1," Arabis mosaic virus small satellite RNA barley/CHE/1991 RNA3-VI, complete genome"
NC_001546.1," Arabis mosaic virus small satellite RNA, complete genome"
NC_006057.1," Arabis mosaic virus RNA 1, complete sequence"
NC_006056.1," Arabis mosaic virus RNA 2, complete sequence"
NC_032104.1," Arachis pintoi virus isolate Var A RdRp, TGBp1, TGBp2, 40 kDa protein, and CP genes, complete cds"
NC_020808.1," Aravan virus, complete genome"
NC_040325.1," Arboreal ant associated circular virus 1 isolate KY_I1338b_D1_CN, complete sequence"
NC_025393.1," Arboretum virus isolate Lo-121, complete genome"
NC_008695.1, Archaeal BJ1 virus complete genome
NC_040838.1," Arctopus echinatus-associated virus isolate 2-76-E, complete genome"
NC_040836.1," Areca palm necrotic spindle-spot virus isolate HNBT, complete genome"
NC_027121.1," Areca palm velarivirus 1 isolate APV1_HN, complete genome"
NC_038366.1," Arenaviridae sp. 13ZR68 viral cRNA, segment L, complete sequence"
NC_038367.1," Arenaviridae sp. 13ZR68 viral cRNA, segment S, complete sequence"
NC_005080.1," Junin virus segment L, complete genome"
NC_005081.1," Junin virus segment S, complete genome"
NC_024014.1," Arhar cryptic virus-I segment RNA-1, strain Hyderabad"
NC_024011.2," Arhar cryptic virus-I segment RNA-2, strain Hyderabad"
NC_024010.1," Arhar cryptic virus-I segment RNA-3, strain Hyderabad"
NC_024451.1, Armadillidium vulgare iridescent virus complete genome
NC_036585.1," Armigeres iflavirus gene for polyprotein, complete cds, strain: 10P38-310"
NC_014609.1," Armigeres subalbatus virus SaX06-AK20, complete genome"
NC_009026.2," Bussuquara virus, complete genome"
NC_029082.1," Arrabida virus strain PoSFPhlebV/126/2008 segment L, complete sequence"
NC_037616.1," Arrabida virus strain PoSFPhlebV/126/2008 segment M, complete sequence"
NC_037617.1," Arrabida virus strain PoSFPhlebV/126/2008 segment S, complete sequence"
NC_018176.1," Arracacha mottle virus, complete genome"
NC_040570.1," Arracacha virus 1 isolate MS#6, complete genome"
NC_020898.1," Arracacha virus B isolate PV-0082 polyprotein gene, complete cds"
NC_020897.1," Arracacha virus B strain oca segment RNA2, complete sequence"
NC_034264.1," Arracacha virus V isolate CNPH, complete genome"
NC_043440.1," Artashat virus strain LEIV-10898Az segment L RNA-dependent RNA-polymerase gene, partial cds"
NC_043442.1," Artashat virus strain LEIV-10898Az segment M glycoprotein precursor, gene, partial cds"
NC_043441.1," Artashat virus strain LEIV-10898Az segment S nucleocapsid protein gene, partial cds"
NC_027796.1," Artemia melana sponge associated circular genome isolate I0307, complete genome"
NC_017914.1," Artemisia virus A, complete genome"
NC_042002.1," Arthrobacter phage Abidatro, complete genome"
NC_042020.1," Arthrobacter phage Adat, complete genome"
NC_041949.1," Arthrobacter phage Amigo, complete genome"
NC_048098.1," Arthrobacter phage Andrew, complete genome"
NC_031252.1," Arthrobacter phage BarretLemon, complete genome"
NC_041999.1," Arthrobacter phage Beans, complete genome"
NC_041938.1," Arthrobacter phage Bennie, complete genome"
NC_041930.1," Arthrobacter phage Brent, complete genome"
NC_048091.1," Arthrobacter phage Bridgette, complete genome"
NC_041951.1," Arthrobacter phage CaptnMurica, complete genome"
NC_041948.1," Arthrobacter phage Circum, complete genome"
NC_042000.1," Arthrobacter phage Colucci, complete genome"
NC_048092.1," Arthrobacter phage Constance, complete genome"
NC_048099.1," Arthrobacter phage Coral, complete genome"
NC_028692.1," Arthrobacter phage Decurro, complete genome"
NC_048093.1," Arthrobacter phage DrManhattan, complete genome"
NC_041939.1," Arthrobacter phage DrRobert, complete genome"
NC_048094.1," Arthrobacter phage Eileen, complete genome"
NC_041876.1," Arthrobacter phage Galaxy, complete genome"
NC_041940.1," Arthrobacter phage Glenn, complete genome"
NC_041952.1," Arthrobacter phage Gordon, complete genome"
NC_041941.1," Arthrobacter phage HunterDalle, complete genome"
NC_041875.1," Arthrobacter phage Jasmine, complete genome"
NC_041931.1," Arthrobacter phage Jawnski, complete genome"
NC_041942.1," Arthrobacter phage Joann, complete genome"
NC_048095.1," Arthrobacter phage Judy, complete genome"
NC_031231.1," Arthrobacter phage KellEzio, complete genome"
NC_048100.1," Arthrobacter phage Kepler, complete genome"
NC_031254.1," Arthrobacter phage Kitkat, complete genome"
NC_041943.1," Arthrobacter phage Korra, complete genome"
NC_041947.1," Arthrobacter phage Laroye, complete genome"
NC_048115.1," Arthrobacter phage Liebe, complete genome"
NC_048140.1," Arthrobacter phage Maja, complete genome"
NC_041932.1," Arthrobacter phage Martha, complete genome"
NC_042001.1," Arthrobacter phage Molivia, complete genome"
NC_031224.2," Arthrobacter phage Mudcat, complete genome"
NC_048096.1," Arthrobacter phage Peas, complete genome"
NC_042014.1," Arthrobacter phage Piccoletto, complete genome"
NC_041944.1," Arthrobacter phage Preamble, complete genome"
NC_042053.1," Arthrobacter phage PrincessTrina, complete genome"
NC_041945.1," Arthrobacter phage Pumancara, complete genome"
NC_042015.1," Arthrobacter phage Shade, complete genome"
NC_048152.1," Arthrobacter phage Sonali, complete genome"
NC_041933.1," Arthrobacter phage Sonny, complete genome"
NC_041961.1," Arthrobacter phage Tank, complete genome"
NC_022972.2," Arthrobacter phage vB_ArS-ArV2, complete genome"
NC_026606.1," Arthrobacter phage vB_ArtM-ArV1, complete genome"
NC_041946.1," Arthrobacter phage Wayne, complete genome"
NC_048097.1," Arthrobacter phage Yang, complete genome"
NC_016752.1," Artibeus jamaicensis parvovirus 1, complete genome"
NC_038558.1," Artibeus planirostris polyomavirus 1 isolate R104, complete genome"
NC_038555.1," Artibeus planirostris polyomavirus 2 isolate A1055, complete genome"
NC_038556.1," Artibeus planirostris polyomavirus 3 isolate A504, complete genome"
NC_043684.1," Artichoke italian latent virus Replicase gene for polyprotein, p1 region, segment RNA1, isolate AILV-V, clone Elbeaino T"
NC_043685.1," Artichoke italian latent virus gene for polyprotein, p2 region, segment RNA2, isolate AILV-V, clone Elbeaino T"
NC_026759.1," Artichoke latent virus isolate FR37, complete genome"
NC_001339.1," Artichoke mottled crinkle virus, complete genome"
NC_013797.1," Artogeia rapae granulovirus isolate Wuhan, complete genome"
NC_023635.1," Arumowot virus segment L, complete sequence"
NC_023633.1," Arumowot virus segment M, complete sequence"
NC_023634.1," Arumowot virus segment S, complete sequence"
NC_015523.1," Asclepias asymptomatic virus, complete genome"
NC_040720.1," Ashy storm petrel gyrovirus isolate a12a1_528, complete genome"
NC_025388.1," Asian prunus virus 1 isolate tatao5, complete genome"
NC_028868.1," Asian prunus virus 2 isolate Bungo Q-1256-01, complete genome"
NC_028975.1," Asian prunus virus 3 isolate Nanjing, complete genome"
NC_043068.1," Asikkala virus strain CZ/Beskydy/412/2010/Sm segment L, complete sequence"
NC_043069.1," Asikkala virus strain CZ/Beskydy/412/2010/Sm segment M, complete sequence"
NC_043070.1," Asikkala virus strain CZ/Beskydy/412/2010/Sm segment S, complete sequence"
NC_025821.1," Asparagus virus 1 isolate DSMZ PV-0954, complete genome"
NC_011808.1," Asparagus virus 2 RNA 1, complete genome"
NC_011809.1," Asparagus virus 2 RNA 2, complete genome"
NC_011807.1," Asparagus virus 2 RNA 3, complete genome"
NC_010416.1," Asparagus virus 3, complete genome"
NC_003400.1," Scallion virus X, complete genome"
NC_020103.1," Aspergillus foetidus dsRNA mycovirus RdRp gene for RNA dependent RNA polymerase, segment 1, genomic RNA"
NC_020100.1," Aspergillus foetidus dsRNA mycovirus ORF1 gene, segment 2, genomic RNA"
NC_020101.1," Aspergillus foetidus dsRNA mycovirus ORF1 gene, segment 3, genomic RNA"
NC_020102.1," Aspergillus foetidus dsRNA mycovirus ORF1, segment 4, genomic RNA"
NC_038928.1," Aspergillus foetidus slow virus 1 CP gene and RdRp gene, genomic RNA"
NC_038872.1," Aspergillus fumigatus chrysovirus segment 1, complete sequence, isolate A-56, genomic RNA"
NC_038873.1," Aspergillus fumigatus chrysovirus segment 2, complete sequence, isolate A-56, genomic RNA"
NC_038871.1," Aspergillus fumigatus chrysovirus segment 3, complete sequence, isolate A-56, genomic RNA"
NC_038874.1," Aspergillus fumigatus chrysovirus segment 4, complete sequence, isolate A-56, genomic RNA"
NC_040757.1," Aspergillus fumigatus partitivirus 2 segment 1, complete sequence"
NC_040756.1," Aspergillus fumigatus partitivirus 2 segment 2, complete sequence"
NC_040421.1," Aspergillus fumigatus polymycovirus 1 segment 1, complete sequence"
NC_040419.1," Aspergillus fumigatus polymycovirus 1 segment 2, complete sequence"
NC_040420.1," Aspergillus fumigatus polymycovirus 1 segment 3, complete sequence"
NC_040418.1," Aspergillus fumigatus polymycovirus 1 segment 4, complete sequence"
NC_043396.1," Aspergillus ochraceous virus strain FA0611 putative RNA dependent RNA polymerase gene, complete cds"
